iter	Passed	Remaining
0	672	671957
1	675	337271
2	678	225483
3	692	172414
4	695	138399
5	698	115698
6	702	99652
7	705	87543
8	708	78027
9	710	70386
10	724	65121
11	726	59852
12	737	56030
13	740	52177
14	785	51603
15	788	48488
16	790	45732
17	794	43321
18	817	42227
19	820	40217
20	823	38394
21	826	36720
22	828	35198
23	831	33809
24	834	32545
25	837	31368
26	840	30284
27	852	29588
28	881	29528
29	884	28598
30	886	27720
31	889	26901
32	892	26146
33	898	25523
34	902	24883
35	905	24257
36	919	23938
37	922	23364
38	931	22960
39	935	22441
40	944	22089
41	947	21604
42	949	21136
43	952	20692
44	956	20297
45	977	20282
46	980	19887
47	992	19694
48	995	19328
49	1004	19080
50	1006	18734
51	1009	18400
52	1011	18076
53	1020	17879
54	1039	17858
55	1042	17577
56	1049	17362
57	1053	17103
58	1055	16839
59	1058	16585
60	1068	16446
61	1071	16206
62	1074	15974
63	1102	16119
64	1117	16077
65	1120	15862
66	1123	15651
67	1135	15560
68	1138	15357
69	1140	15156
70	1171	15333
71	1183	15259
72	1203	15279
73	1214	15197
74	1217	15013
75	1220	14835
76	1229	14735
77	1232	14565
78	1241	14472
79	1248	14352
80	1261	14316
81	1280	14329
82	1281	14156
83	1291	14080
84	1293	13925
85	1296	13776
86	1298	13631
87	1310	13582
88	1313	13448
89	1336	13510
90	1340	13387
91	1363	13459
92	1372	13390
93	1375	13257
94	1377	13125
95	1385	13049
96	1388	12926
97	1393	12822
98	1411	12850
99	1414	12734
100	1432	12752
101	1444	12713
102	1447	12602
103	1449	12491
104	1457	12425
105	1463	12340
106	1473	12299
107	1476	12194
108	1478	12089
109	1481	11986
110	1494	11966
111	1505	11935
112	1508	11838
113	1511	11744
114	1520	11699
115	1586	12089
116	1588	11988
117	1603	11983
118	1614	11950
119	1617	11860
120	1620	11771
121	1633	11753
122	1636	11665
123	1638	11578
124	1646	11524
125	1692	11740
126	1695	11658
127	1699	11578
128	1708	11532
129	1711	11452
130	1715	11376
131	1718	11300
132	1727	11259
133	1756	11351
134	1759	11276
135	1762	11197
136	1765	11121
137	1777	11100
138	1780	11025
139	1786	10971
140	1789	10903
141	1791	10825
142	1811	10855
143	1856	11036
144	1859	10965
145	1864	10907
146	1895	11000
147	1908	10989
148	1918	10958
149	1948	11041
150	1951	10972
151	1954	10902
152	1998	11061
153	2001	10994
154	2004	10927
155	2012	10886
156	2017	10832
157	2032	10829
158	2044	10811
159	2048	10756
160	2061	10742
161	2066	10687
162	2073	10648
163	2080	10606
164	2085	10552
165	2095	10528
166	2108	10514
167	2131	10554
168	2139	10517
169	2142	10461
170	2146	10406
171	2150	10353
172	2165	10353
173	2168	10293
174	2175	10255
175	2178	10198
176	2180	10140
177	2188	10106
178	2192	10054
179	2194	9999
180	2206	9982
181	2209	9929
182	2213	9881
183	2225	9869
184	2239	9866
185	2245	9825
186	2255	9805
187	2259	9758
188	2289	9824
189	2292	9772
190	2306	9770
191	2322	9772
192	2334	9762
193	2370	9850
194	2380	9828
195	2383	9778
196	2386	9727
197	2389	9678
198	2396	9644
199	2398	9593
200	2402	9549
201	2405	9502
202	2430	9542
203	2433	9495
204	2442	9471
205	2447	9434
206	2462	9434
207	2465	9387
208	2477	9375
209	2481	9336
210	2490	9313
211	2494	9271
212	2498	9231
213	2512	9228
214	2515	9184
215	2527	9173
216	2544	9179
217	2546	9135
218	2559	9128
219	2563	9089
220	2576	9083
221	2580	9042
222	2591	9028
223	2594	8988
224	2606	8976
225	2609	8937
226	2612	8896
227	2615	8855
228	2622	8828
229	2625	8788
230	2627	8748
231	2641	8744
232	2645	8709
233	2655	8692
234	2659	8658
235	2695	8726
236	2706	8712
237	2708	8672
238	2712	8636
239	2717	8606
240	2721	8570
241	2738	8576
242	2742	8543
243	2745	8506
244	2766	8526
245	2770	8490
246	2773	8455
247	2777	8420
248	2779	8383
249	2782	8346
250	2792	8332
251	2794	8295
252	2797	8261
253	2811	8257
254	2824	8252
255	2827	8216
256	2843	8219
257	2857	8218
258	2860	8183
259	2872	8176
260	2876	8143
261	2883	8122
262	2893	8109
263	2896	8076
264	2901	8046
265	2912	8036
266	2915	8003
267	2917	7969
268	2927	7955
269	2930	7923
270	2933	7890
271	2945	7882
272	2961	7886
273	2973	7878
274	2976	7846
275	2978	7813
276	2985	7793
277	2988	7761
278	2991	7730
279	2994	7699
280	3005	7689
281	3007	7658
282	3010	7628
283	3026	7628
284	3028	7598
285	3031	7568
286	3035	7540
287	3038	7511
288	3041	7482
289	3052	7473
290	3067	7472
291	3070	7445
292	3084	7443
293	3087	7414
294	3091	7388
295	3097	7366
296	3100	7338
297	3112	7332
298	3116	7306
299	3132	7309
300	3135	7281
301	3149	7279
302	3152	7250
303	3159	7233
304	3162	7206
305	3165	7179
306	3194	7211
307	3197	7183
308	3200	7156
309	3209	7144
310	3214	7121
311	3217	7094
312	3229	7087
313	3233	7064
314	3237	7040
315	3240	7014
316	3247	6996
317	3250	6971
318	3253	6944
319	3256	6919
320	3267	6911
321	3270	6886
322	3281	6878
323	3284	6853
324	3290	6833
325	3296	6814
326	3300	6792
327	3303	6768
328	3318	6768
329	3328	6758
330	3331	6733
331	3334	6709
332	3348	6706
333	3361	6702
334	3367	6684
335	3379	6678
336	3382	6654
